side;id;Achillea millefolium;Agrostis capillaris;Agrimonia eupatoria;Ajuga reptans;Alopecurus pratensis;Anthoxanthum odoratum;Anthericum ramosum;Anthyllis vulneraria;Arabis hirsuta;Arrhenatherum elatius;Asperula cynanchica;Brachypodium pinnatum;Briza media;Bromus erectus;Buphthalmum salicifolium;Campanula glomerata;Campanula patula;Campanula rapunculoides;Campanula rotundifolia;Carex flacca;Carlina vulgaris;Centaurea jacea;Centaurea scabiosa;Centaurea stoebe;Cerastium holosteoides;Cichorium intybus;Cirsium oleraceum;Clinopodium vulgare;Crepis biennis;Cynosurus cristatus;Dactylis glomerata;Daucus carota;Dianthus carthusianorum;Echium vulgare;Festuca ovina;Festuca pratensis;Festuca rubra;Filipendula vulgaris;Galium album;Galium verum;Geranium pratense;Helianthemum nummularium;Helictotrichon pubescens;Hippocrepis comosa;Holcus lanatus;Hypericum perforatum;Hypochaeris radicata;Inula salicina;Knautia arvensis;Koeleria pyramidata;Lathyrus pratensis;Leontodon hispidus;Leucanthemum vulgare;Lotus corniculatus;Lychnis flos-cuculi;Medicago falcata;Medicago lupulina;Onobrychis viciifolia;Origanum vulgare;Pastinaca sativa;Peucedanum oreoselinum;Phleum pratense;Pimpinella major;Pimpinella saxifraga;Plantago lanceolata;Plantago media;Poa angustifolia;Poa compressa;Poa pratensis;Potentilla recta;Prunella grandiflora;Prunella vulgaris;Ranunculus acris;Ranunculus bulbosus;Rhinanthus alectorolophus;Rhinanthus minor;Rumex acetosa;Salvia pratensis;Sanguisorba minor;Sanguisorba officinalis;Scabiosa columbaria;Sedum acre;Silene latifolia;Silaum silaus;Silene vulgaris;Thymus praecox;Tragopogon pratensis;Trisetum flavescens;Trifolium montanum;Trifolium pratense;Veronica chamaedrys;Verbascum lychnitis;Vicia cracca
L;1_01;0,792;;;0,792;2,064;2,064;;;;2,064;;;2,064;;;;;;;;;0,792;0,792;;;0,792;0,792;;;;;;;;;;;;;;0,792;;;;2,064;;0,792;;0,792;;;;;0,408;;;0,408;;;;;2,064;;;;;;;2,064;;;;;;1,2;;;;;;;;;;;;;;;;;;0,408
L;1_02;;;;;;2,064;;0,408;0,792;;0,792;;;2,064;0,792;;;;;2,064;;;;;;;;0,792;;;;;;;2,064;2,064;2,064;;;;;0,792;;;;;;;;;;;0,792;0,408;;;;;;;;2,064;;;;;;;;0,792;;;;;;1,2;;;;;;0,792;;;0,792;;;;0,408;;;;
L;1_03;;4,128;;;;;;;1,584;;;4,128;4,128;4,128;;1,584;;;;4,128;1,584;;;1,584;;;;1,584;;;;;;;4,128;;;;;;;;;;;;1,584;;;;;;;0,816;;;0,816;0,816;;;1,584;4,128;;1,584;;;;;;1,584;;;;;;2,4;;;;;;;;;;;;;;;;;
L;1_04;1,584;4,128;;;;;;;;4,128;;;4,128;;;;;;;;;;1,584;;;;;;;4,128;4,128;;;;;;;;;;;;;;4,128;;1,584;;;;0,816;;;;1,584;;;;1,584;;;;1,584;;1,584;;;;;;;;;;;2,4;1,584;;;;;;;;;;;4,128;;0,816;;1,584;0,816
L;1_05;1,584;4,128;;;;4,128;;;;4,128;;;4,128;;;;;1,584;;;;1,584;;;;;;;;;;;;;;;;;;;;;;;;;;;1,584;;;;1,584;0,816;;;0,816;;;;;4,128;;;1,584;;;;4,128;;;;;;2,4;;;1,584;;;;;1,584;;;;1,584;4,128;;0,816;;;
L;1_06;;2,064;;;;;;0,408;;;0,792;;2,064;2,064;0,792;;;;;2,064;;;;;;;;;;;;;0,792;;2,064;2,064;;;;0,792;;;2,064;;;0,792;;0,792;;;;;;;;;0,408;;0,792;;0,792;;;;;;;;;;0,792;;;;1,2;;;;;;;;;;;;;;0,408;;;;
L;1_07;;2,064;;;;2,064;;;;2,064;;;2,064;;;0,792;;;;;;0,792;;;0,792;;;;;2,064;2,064;;;;;;;;;;;;;;;;;;;;;;0,792;0,408;;;0,408;;;0,792;;2,064;;;0,792;;;;;;;;;;;1,2;;0,792;;;;;;0,792;;;;;;;0,792;;0,408
L;1_08;1,584;;;;;4,128;1,584;0,816;;;;;;4,128;;1,584;;;;;;;1,584;1,584;;;;;;;;;1,584;;;4,128;4,128;;;1,584;;;;0,816;;1,584;;;;4,128;;;;;;;;;;;;4,128;;;;1,584;4,128;;;;;;;;;2,4;;;;;;;;;;;;;0,816;;;;
L;1_09;;;;0,792;2,064;2,064;;;;2,064;;;;;;;;0,792;;;;;0,792;;;0,792;0,792;;;;;;;;;2,064;2,064;;;;;;;;2,064;;;;0,792;;0,408;;;;;;0,408;;;;;;;;;;;;2,064;;;;;;1,2;;;;0,792;0,792;;;0,792;;;;;;;0,408;;;
L;1_10;;4,128;;;;4,128;;;;4,128;;;;;;;;;;;;;1,584;;1,584;;;;;4,128;;;;;;4,128;4,128;;;;;;;;;;;;;;0,816;;;0,816;;;0,816;;;;;4,128;1,584;;;;;;;;;1,584;;;;2,4;;;1,584;1,584;;;1,584;1,584;;;;;;;1,584;;
L;1_11;;;;;;2,064;;;;;;2,064;;2,064;;;;;0,792;;0,792;;;;;;;;;;;;;;2,064;;;0,792;;;;;;;;;0,792;;;2,064;;;0,792;;;0,408;0,408;0,408;0,792;;;2,064;;;;;2,064;;;;;;;;;1,2;;0,792;0,792;;;;;;;0,792;;;;;;;
L;1_12;;4,128;;;;;;;;;;4,128;;4,128;;;;;1,584;;;;;1,584;;;;;;;;;;1,584;;4,128;4,128;1,584;;;;;;0,816;;;;;;4,128;;;;;;0,816;;;;;;;;;;;4,128;;;1,584;1,584;;;;2,4;;;;1,584;;1,584;;;;1,584;;;;0,816;;;;
L;1_13;;2,064;0,792;;;;;;;;0,792;2,064;2,064;2,064;;;;;;2,064;;;;;;;;;;;;;;;;;2,064;;;;;;2,064;0,408;;;;0,792;;;;0,792;;0,408;;;;0,408;0,792;;0,792;;;;;;;;;;0,792;;;0,792;1,2;;;;;;0,792;;;;;;;;;;;;
L;1_14;;4,128;;;;;;;;4,128;;;4,128;;;;;;;;;;;;;;;;1,584;;4,128;1,584;;;;;;;1,584;;1,584;;;;4,128;;;;;;0,816;;;;1,584;;;;;;;4,128;;;;;;4,128;;;;;;;2,4;;1,584;1,584;;;;;;;;;1,584;;;0,816;1,584;;0,816
L;1_15;;;;;;4,128;1,584;0,816;;;;;;4,128;;;;;;;;;1,584;;;;;;;;;;;;;4,128;4,128;;;;;1,584;4,128;;;;1,584;;1,584;4,128;;1,584;1,584;;;0,816;;;;;;;;;;;4,128;;;;;;;;2,4;;;;;;;1,584;;;;1,584;;;0,816;;;;
L;1_16;;2,064;;;;;;;;2,064;;;;;;;;0,792;;;;;;;;;;;0,792;;;;;;;2,064;2,064;;;;0,792;;;;2,064;;0,792;;;;;;;0,408;;;;;;0,792;;;0,792;;;;;2,064;;;;;;;;1,2;;0,792;;;;;;;;;0,792;2,064;;0,408;0,792;;0,408
L;1_17;;;;;2,064;2,064;;;;2,064;;;2,064;;;0,792;;;;;;;;;0,792;0,792;;;0,792;;;;;;;;2,064;;0,792;;;;;;2,064;;;;;;0,408;;;0,408;;;;;;;;;;;;;;;;;;;0,792;0,792;;1,2;;;;0,792;;;;0,792;;;;2,064;;;;;0,408
L;1_18;0,792;;0,792;;;;;;;;;2,064;;2,064;;0,792;;;;2,064;;;0,792;;;;;;;;;;;;;;2,064;0,792;;;;;;0,408;;;;;;2,064;;;;;;0,408;;0,408;;;;2,064;;;;0,792;2,064;;;;;;;;1,2;;;0,792;;;;;;;0,792;0,792;;;;;;;
L;1_19;;4,128;;;;4,128;1,584;;;;;;4,128;4,128;;;;;;;;;1,584;1,584;;;;;;;;;;;4,128;4,128;;1,584;;;;;4,128;0,816;;;;1,584;;;;;;0,816;;0,816;;;;;;;;;;;;;;1,584;;;;1,584;;2,4;;;;;1,584;1,584;;;;;;;;;;;
L;1_20;;4,128;;1,584;4,128;;;;;4,128;;;4,128;;;1,584;1,584;;;;;;;;;;1,584;;;;;1,584;;;;4,128;4,128;;;;;;;;;;;;;;;;;0,816;;;0,816;;;;;;;;1,584;;;4,128;;;;1,584;;;2,4;;;;1,584;1,584;;;;;;;;;;0,816;;;
L;1_21;1,584;;;;;4,128;;;;4,128;;;;;;;1,584;;;;;;;;;;;;1,584;4,128;4,128;1,584;;;;4,128;4,128;;1,584;;;;;;4,128;;;;;;0,816;;1,584;;;;;;;1,584;;;;;;;;;;;;;;;2,4;;1,584;;;;;;;;;;;;;0,816;;1,584;0,816
L;1_22;;;1,584;;;4,128;;;1,584;;;4,128;4,128;4,128;1,584;;;;1,584;4,128;1,584;;;;;;;;;;;;1,584;;4,128;;;;;1,584;;;;;;;;1,584;;;;;;0,816;;0,816;0,816;;;;;4,128;;;;;;;;;;;;;;2,4;;;1,584;;;;;;;;;;;;;;
L;1_23;0,792;;;;;2,064;;;;2,064;;;;;;;0,792;;;;;;;;;0,792;;;;;2,064;0,792;;;;;2,064;;;;;;;;2,064;;;;;;0,408;;;0,408;;;0,408;;0,792;;;2,064;;;;;;2,064;;;;0,792;0,792;0,792;;1,2;;;;;;;;;;;;;;;;0,792;
L;1_24;0,792;2,064;;;;;;0,408;;;;;2,064;2,064;;;;;;;;;;;;;;;;;;;;0,792;;2,064;;0,792;;;;;2,064;;;0,792;;;0,792;2,064;;;;;;;0,408;0,408;;;;;;0,792;;0,792;2,064;;;;;;;0,792;1,2;;;0,792;;;;;;;;;;;;;;;
L;2_01;;4,128;;;4,128;4,128;;;;4,128;;;;;;1,584;;;;;;;;;;1,584;;;1,584;;;;;;;4,128;4,128;;;;;;;;;;;;1,584;;0,816;;;0,816;;;0,816;;1,584;;;;;;;;;;4,128;;;;1,584;1,584;2,4;;;;;1,584;;;1,584;;;;;;;;;;
L;2_02;;;;;;4,128;;0,816;1,584;;;4,128;;4,128;;;;;1,584;;;;;1,584;;;;;;;;;;;;4,128;4,128;1,584;;;;;;0,816;;;;;1,584;4,128;;1,584;;;;;;;;;1,584;;;;;;4,128;;;1,584;;;;;;2,4;;;;;;;;;;1,584;;;0,816;;;;
L;2_03;;2,064;;;;2,064;;;;2,064;;;;;;;;;;;;;;;0,792;;;;0,792;2,064;;0,792;;;;2,064;2,064;;;;;;;;;;0,792;;;;0,408;;;;;;0,408;;;;;;0,792;;;;;;;;;0,792;;;;1,2;;0,792;;;;;0,792;0,792;;;;2,064;;;;;0,408
L;2_04;0,792;;0,792;;;2,064;;0,408;;;;2,064;;2,064;;;;;;2,064;;;0,792;;;;;;;;;;;;;;;;;;;;2,064;0,408;;0,792;;0,792;;2,064;;;0,792;;;0,408;;;;;;;;;;;2,064;;;;0,792;;;0,792;1,2;;;0,792;;;;;;;;;;;;;;;
L;2_05;0,792;2,064;;;2,064;2,064;;;;2,064;;;;;;;;0,792;;;;;;;;;0,792;;;;;0,792;;;;2,064;;;;;;;;;2,064;;;;;;;;;0,408;;;0,408;;;0,792;;;;;;;;2,064;;;;0,792;;0,792;1,2;;;0,792;;;;;;;;;;;;;;0,792;0,408
L;2_06;;;1,584;;;4,128;;0,816;1,584;;;4,128;;4,128;;;;;;;;;;;;;;1,584;;;;;;;;;4,128;1,584;;;;;;0,816;;;;1,584;;4,128;;;;;;0,816;;;;;1,584;4,128;;;;;4,128;;;;;;;;;2,4;;1,584;1,584;;;;;;1,584;;;;;;;;
L;2_07;;2,064;;;;;0,792;0,408;;;;;2,064;2,064;;;;;;2,064;;;0,792;;;;;;;;;;;0,792;2,064;2,064;;;;;;;;0,408;;;;;;;;0,792;0,792;0,408;;;;;;;;2,064;;;;;;;;0,792;;;;0,792;;1,2;;;;;0,792;0,792;;;;;;;;;;;
L;2_08;;4,128;;;;4,128;;;;4,128;;;;;;1,584;;;;;;;;;1,584;;;;1,584;;4,128;1,584;;;;4,128;4,128;;1,584;;;;;;;;;;;;;;;;1,584;;0,816;;;;;;;;1,584;;;4,128;;;;;1,584;;;2,4;;;;;;;;1,584;;;;;;0,816;;;0,816
L;2_09;1,584;;;;;4,128;1,584;0,816;;;;;4,128;4,128;;1,584;;;;;1,584;;;;;;;1,584;;;;;1,584;;;;4,128;;;;;1,584;4,128;;;;;;;;;;;;;0,816;0,816;;;;;4,128;;1,584;;;4,128;;;;;;;;;2,4;;;;;1,584;;;;;;;;;;;;
L;2_10;;2,064;;;;2,064;;;;;;;2,064;2,064;0,792;;;;0,792;;0,792;;;;;;;;;;;;0,792;;2,064;2,064;;;;;;;2,064;;;;0,792;;0,792;;;0,792;;0,408;;;0,408;;;;;;;;;0,792;;;;;;;;0,792;1,2;;;;;;;;;;;;;;0,408;;;;
L;2_11;;;;;;2,064;;;;2,064;;;2,064;;;0,792;0,792;;;;;0,792;;;;0,792;;;;2,064;2,064;;;;;;2,064;;;;;;;;;;;;0,792;;;;;0,408;;;0,408;;0,792;0,792;;2,064;;;0,792;;;;;;;;;;1,2;;;;;;;;;;;;;;;0,408;0,792;;
L;2_12;1,584;;;;;4,128;;;;4,128;;;;;;;1,584;;;;;1,584;1,584;;;;;;;;;;;;;;4,128;;1,584;;;;;;4,128;;;;;;0,816;;1,584;;;;;;;;;4,128;;;;;;4,128;;;;;;;2,4;;1,584;;;1,584;;;;;;;1,584;4,128;;0,816;;;0,816
L;2_13;;2,064;;;2,064;;;;;2,064;;;2,064;;;0,792;;;;;;0,792;;;;0,792;0,792;;;;;;;;;;;;;;;;;;2,064;;0,792;;;;0,408;;;0,408;;;;;;;;2,064;;;0,792;;;;2,064;;;;;0,792;1,2;;;;;0,792;;;;;;;0,792;;;;;;0,408
L;2_14;0,792;2,064;;;;2,064;;;;;;;;2,064;0,792;;;;;;0,792;;;;;;;;;;;;0,792;0,792;2,064;2,064;2,064;;;0,792;;;;;;;0,792;;;;;;;;;0,408;0,408;0,408;;;;2,064;;0,792;;0,792;;;;;;;;;;1,2;;;;;;;;;;;;;;;;;
L;2_15;;4,128;;;;;;;;;1,584;4,128;4,128;4,128;1,584;;;;;4,128;;;1,584;;;;;;;;;;;;4,128;;;1,584;;;;1,584;4,128;;;1,584;;;;;;;;;;0,816;0,816;0,816;;;;;;;;;;;;;;;;;2,4;;;;1,584;;;;;;1,584;1,584;;;;;;;
L;2_16;1,584;4,128;;;;4,128;;;;4,128;;;4,128;;;;;;;;;;;;;;1,584;;;;;1,584;;;;;;;;;;;;;;;;;1,584;;;;1,584;0,816;;;0,816;;;;;4,128;;;1,584;;;;4,128;;;1,584;;1,584;;2,4;;;;;;;;;;;;4,128;;;;1,584;0,816
L;2_17;;;;;;;;;;;1,584;4,128;;4,128;1,584;;;;;4,128;;;;;;;;;;;;;;1,584;;4,128;4,128;;;1,584;;1,584;;;;;;;1,584;4,128;;;;0,816;;;0,816;0,816;1,584;;;;;;;;4,128;;;;1,584;;;;2,4;;;;;;1,584;;;;;;;;;;;;
L;2_18;0,792;2,064;;0,792;;;;;;2,064;;;2,064;;;;;;;;;;;;;0,792;;;;;;;;;;2,064;;;;;0,792;;;;2,064;;;;;;0,408;;0,792;;;;;;;;;;0,792;;;;;2,064;;;;;;;;1,2;0,792;0,792;;;;;;;;;;2,064;;0,408;;0,792;0,408
L;2_19;;;;;;;;;;;0,792;;2,064;2,064;;;;;;;;;;;;;;0,792;;;;;0,792;;;2,064;2,064;;;0,792;;;2,064;;;0,792;;0,792;;2,064;;;;0,408;;;;0,408;0,792;;0,792;;;;;;2,064;;;;;;;;1,2;;;;0,792;;;;;;;;;;0,408;;;;
L;2_20;;;;;;;;;;4,128;;;4,128;;;;;;;;;;1,584;;1,584;1,584;;;;4,128;4,128;;;;;;4,128;;;;1,584;;;;4,128;;;;;;0,816;;;0,816;;;;;;;;;;;;;;;;;;;;;;2,4;1,584;;;;;;1,584;1,584;;;1,584;4,128;;0,816;1,584;;
L;2_21;;;;0,792;2,064;;;;;2,064;;;2,064;;;;;0,792;;;;;0,792;;;;;;0,792;;2,064;;;;;;2,064;;;;0,792;;;;2,064;;;;;;;;;;0,792;;0,408;;;;;;;;;;;;2,064;;;;0,792;;1,2;;;;0,792;0,792;;;;;;;;;;0,408;;;0,408
L;2_22;;4,128;;1,584;;;;;;4,128;;;4,128;;;;;;;;;;1,584;;;;;;;4,128;4,128;;;;;;;;;;;;;;4,128;;1,584;;;;0,816;;;0,816;1,584;;;;;1,584;;4,128;1,584;;;;;;;;;;;;2,4;;;1,584;1,584;;;;;;;;;;;0,816;1,584;;
L;2_23;;2,064;0,792;;;;;;0,792;;;2,064;;2,064;;0,792;;;0,792;2,064;;;;0,792;;;;;;;;;;;2,064;;;;;;;;;0,408;;;;;;2,064;;;;0,408;;;;;0,792;;;2,064;;;;;;;;;0,792;;;;1,2;;;;;;;;;;0,792;0,792;;;0,408;;;;
L;2_24;1,584;4,128;;;;;1,584;;;;;;;4,128;;1,584;;;;;;;;1,584;;;;;;;;;;;4,128;;4,128;;;;;;4,128;;;;;;;;;;1,584;0,816;;;;0,816;;;;4,128;;1,584;;;4,128;;;1,584;;;;;;2,4;;1,584;;;;1,584;;;;;;;0,816;;;;
L;3_01;;2,064;;;;;;;;2,064;;;2,064;;;;;0,792;;;;;;;;;0,792;;0,792;;2,064;;;;;;;;;;;;;;2,064;;;;;;0,408;;0,792;;0,792;;0,408;;;;;;;;0,792;;;2,064;;;;;;;1,2;;0,792;;0,792;0,792;;;;;;;;2,064;;0,408;;;
L;3_02;;4,128;1,584;;;;;;;;;;4,128;4,128;;;;;;;;;;;;;;;;;;;;1,584;4,128;4,128;;;;1,584;;;;0,816;;1,584;;1,584;;;;;1,584;0,816;;;;;;;;4,128;;;;1,584;4,128;;;;1,584;;;;2,4;;;;;;;;;;1,584;;;;0,816;;;;
L;3_03;;;;1,584;;;;;;4,128;;;4,128;;;;1,584;;;;;1,584;;;;;;;1,584;;4,128;1,584;;;;;4,128;;;;1,584;;;;4,128;;;;;;;;;0,816;;;;;;;;;;;;;;;4,128;;;;1,584;;;2,4;;1,584;;;;;;;;;1,584;4,128;;0,816;;;0,816
L;3_04;;;;;;2,064;;;;;;;2,064;2,064;;0,792;;;0,792;;0,792;;;0,792;;;;;;;;;0,792;;;2,064;;;;;;;2,064;;;;0,792;;;2,064;;;;0,408;;;0,408;0,408;0,792;;;;;;;;2,064;;;;;;;;;1,2;;;0,792;;;;;;;0,792;;;;;;;
L;3_05;1,584;;;1,584;4,128;4,128;;;;4,128;;;;;;;;;;;;;;;;1,584;;;;;;;;;;;4,128;;;;1,584;;;;4,128;;;;;;;;;0,816;;;0,816;;;1,584;;4,128;1,584;;;;;4,128;;;;;;1,584;2,4;;;;;;;;;;;;;;;0,816;1,584;1,584;
L;3_06;;;;0,792;;;;;;2,064;;;2,064;;;;0,792;;;;;;;;;;;;0,792;;2,064;0,792;;;;2,064;2,064;;0,792;;;;;;2,064;;;;0,792;;0,408;;;0,408;;;;;;;;;;;;;;;2,064;;;;0,792;;1,2;;;;;;;;;;;;0,792;;;;0,792;;0,408
L;3_07;0,792;;;;;2,064;0,792;0,408;0,792;;;;;2,064;;;;;;2,064;;;;;;;;0,792;;;;;;;;;2,064;0,792;;;;;2,064;;;0,792;;;;2,064;;;0,792;;;0,408;0,408;;;;;2,064;;0,792;;;;;;;;;;;;1,2;;0,792;;;;;;;;;;;;;;;
L;3_08;1,584;4,128;1,584;;;;;;;;;4,128;4,128;4,128;;1,584;;;;;;;;;;;;1,584;;;;;;;;;4,128;;;;;;4,128;;;;;1,584;;;;;1,584;;;;0,816;0,816;;;;;;;;;4,128;;;;;;;;;2,4;;;1,584;;;1,584;;;1,584;;;;0,816;;;;
L;3_09;;4,128;;;;;;0,816;;;1,584;4,128;4,128;4,128;1,584;;;;;4,128;;;1,584;;;;;;;;;;;;4,128;;;;;;;;;;;;;;1,584;;;1,584;;;;0,816;0,816;;;;1,584;4,128;;;;1,584;;;;;;;;1,584;;2,4;;;;;;1,584;;;;;;;;;;;
L;3_10;;4,128;;;4,128;;;;;4,128;;;;;;;;1,584;;;;;;;;1,584;;;;4,128;;1,584;;;;;4,128;;;;;;;;4,128;;;;;;;;;;1,584;;0,816;;1,584;;;4,128;;;;;;;;;;1,584;;;;2,4;1,584;;;1,584;;;;;;;;;;0,816;;1,584;0,816
L;3_11;;;;;;2,064;0,792;;;;;2,064;;2,064;;;;;;2,064;;;;0,792;;;;0,792;;;;;;;2,064;2,064;;;;;;0,792;;0,408;;;;0,792;;2,064;;;;0,408;;;;0,408;;;0,792;;;;;;;;;;;;;;1,2;;;;0,792;;0,792;;;;;0,792;;;;;;;
L;3_12;0,792;2,064;;;2,064;;;;;2,064;;;2,064;;;;;;;;;;0,792;;;;0,792;;;;;;;;;;;;0,792;;;;;;2,064;;0,792;;0,792;;;;;0,408;;;;;;;;;0,792;;;;;2,064;;;;0,792;;;;1,2;;0,792;;;;;;;;;;2,064;;0,408;;;0,408
L;3_13;;;;;;2,064;;;;2,064;;;2,064;;;0,792;;;;;;;0,792;;;;;;0,792;2,064;2,064;0,792;;;;2,064;;;0,792;;;;;;2,064;;;;;;0,408;;;;;;0,408;;0,792;;;;;;;;;;;;;0,792;0,792;;1,2;;;;;;;;;0,792;;;;;;;;;0,408
L;3_14;;4,128;;;;;;;1,584;;;4,128;4,128;4,128;;;;;1,584;4,128;1,584;;;;;;;;;;;;;;;;;1,584;;;;1,584;4,128;;;1,584;;;;;;;;;;;0,816;0,816;;;;;;;;;4,128;;;1,584;;;;1,584;2,4;;;;;;;;;;;1,584;;;0,816;;;;
L;3_15;;;;;4,128;4,128;;;;4,128;;;4,128;;;;;;;;;;1,584;;1,584;;;;;4,128;;;;;;4,128;4,128;;;;;;;;;;1,584;;;;0,816;;;0,816;;;0,816;;;1,584;;;1,584;;;;;;;;;;;;;2,4;;;;1,584;;;1,584;1,584;;;;;;;1,584;;
L;3_16;;2,064;;;;;0,792;0,408;;;;2,064;;2,064;0,792;;;;;;;;0,792;0,792;;;;;;;;;;;2,064;;2,064;;;0,792;;;;;;;;;0,792;2,064;;;;0,408;;;0,408;;;;;2,064;;0,792;;;;;;;;;;;1,2;;;0,792;;;;;;;0,792;;;;;;;;
L;3_17;;2,064;;;;;;;;;;2,064;2,064;2,064;;;;;;2,064;0,792;;;;;;;;;;;;;0,792;2,064;;;;;;;0,792;;0,408;;;0,792;;;;;;;0,408;;0,408;;;;;;2,064;;0,792;;;;;;0,792;0,792;;;0,792;;1,2;;;;;0,792;;;;;;;;;;;;
L;3_18;;;;;;4,128;;0,816;;;1,584;4,128;;4,128;1,584;;;;;;;;1,584;;;;;;;;;;1,584;;;;4,128;;;;;;;0,816;;;;;;4,128;;1,584;1,584;;;;;;1,584;;1,584;4,128;;;;;4,128;;;;1,584;;;;2,4;;;;;;;;;;;;;;0,816;;;;
L;3_19;;2,064;;;2,064;2,064;;;;2,064;;;;;;;;;;;;0,792;0,792;;;;;;;;;;;;;2,064;2,064;;;;;;;;;;;;;;;;0,792;;0,792;;0,408;;0,792;0,792;;;;;0,792;;;2,064;;;;;;;1,2;;0,792;0,792;;;;;;;;;;;;0,408;;;0,408
