Titel,Publikation,Betreuer,Link
Fischer 2012 (003007),"Fischer, Anton et al. (2012) , Dauerbeobachtungstransekte auf Windwurfflächen im Nationalpark Bayerischer Wald (Proj. 55/649/650)",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1363
Düring 1995 (000918),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1961
Rüther 2009 (000694),"Rüther, C. et al. (2009) , Verbreitung, Vergesellschaftung und Ökologie von Lathraea squamaria in Süddeutschland, mit einem Überblick zur Situation in Mitteleuropa",Florian Jansen,https://www.vegetweb.de/#!quellendetails/480
Hölzel 1990 (000929),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1943
Hartmann 1956 (000926),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1947
Schrautzer 2009 (000951),"Schrautzer, J. et al. (2009) , Succession and management of calcareous dry grasslands in the Northern Franconian Jura, Germany",Florian Jansen,https://www.vegetweb.de/#!quellendetails/483
Siede 1960 (000334),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1954
Bässler 2006 (003005),"Bässler, Claus (2006) , Höhentransekte im Nationalpark Bayerischer Wald",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1366
Klauck 2007 (001182),"Klauck, E.-J. (2007) , Geranium phaeum L. in Saumgesellschaften und Versaumung",Florian Jansen,https://www.vegetweb.de/#!quellendetails/505
Besler 1982 (000917),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1952
Schmitt 2010 (000696),"Schmitt, B. et al. (2010) , Vergesellschaftung und Ökologie der Sumpf-Siegwurz (Gladiolus palustris) in Südbayern",Florian Jansen,https://www.vegetweb.de/#!quellendetails/497
Hofmann 1997 (000928),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1939
Lippert 1966 (000235),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1941
Abs 2002 (101119),"Abs, Clemens (2002) , Lebensfähigkeitsanalyse der gefährdeten Quellflurarten Cochlearia bavarica VOGT und Cochlearia pyrenaica DC",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1348
101124 blaschke (2021),,Florian Jansen,https://www.vegetweb.de/#!quellendetails/2025
Brandes 2007 (000691),"Brandes, Dieter et al. (2007) , Verbreitung, Ökologie und Soziologie von Ambrosia artemisiifolia L. in Mitteleuropa",Florian Jansen,https://www.vegetweb.de/#!quellendetails/499
Beer 2005 (000683),"Beer, A. et al. (2005) , Vegetationskundliche Untersuchungen rezent streugenutzter Kiefernwälder auf Binnendünen des niederbayerischen Tertiärhügellandes",Florian Jansen,https://www.vegetweb.de/#!quellendetails/488
Zimmermann 1982 (003001),"Zimmermann, Renate (1982) , Waldgesellschaften auf der Forchheimer Langen Meile",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1372
Ewald 2013 (001262),"Ewald, Jörg et al. (2013) , Kiefer am Scheideweg: Heidewälder in der nördlichen Münchener Ebene",Florian Jansen,https://www.vegetweb.de/#!quellendetails/486
Ewald 2008 (003006),"Ewald, Jörg (2008) , Biomasse-Projekt im Nationalpark Bayerischer Wald (Proj. 712)",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1368
Feldner 1978 (000923),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1955
Otte 2005 (001178),"Otte, A. et al. (2005) , Verbreitungsschwerpunkte und strukturelle Einnischung der Stauden-Lupine (Lupinus polyphyllus Lindl.) in Bergwiesen der Rhön",Florian Jansen,https://www.vegetweb.de/#!quellendetails/496
Freiberg 1980 (000925),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1960
Conradi 2013 (001240),"Conradi, Timo et al. (2013) , Plant communities and environmental gradients in mires of the Ammergauer Alps (Bavaria, Germany)",Florian Jansen,https://www.vegetweb.de/#!quellendetails/475
Hoppe 2005 (100716) = Tüxen-Archiv,"Hoppe, A. (2005) , Das Reinhold-Tüxen-Archiv am Institut für Geobotanik der Universität Hannover",Friedemann Goral,https://www.vegetweb.de/#!quellendetails/1933
Herter 1990 (000927),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1953
Ewald 1993 (000922),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1948
Michiels 1992 (000935),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1959
Ewald 1993 (000919),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1950
Walentowski 2014 (001238),"Walentowski, Helge et al. (2014) , Naturwaldreservatsforschung in Bayern - Auswertung von Vegetationsdaten zur wald-ökologischen Dauerbeobachtung",Florian Jansen,https://www.vegetweb.de/#!quellendetails/501
Krumbiegel 2006 (001181),"Krumbiegel, A. (2006) , Bolboschoenus laticarpus-Röhrichte an der Mittelelbe, eine bisher verkannte Gesellschaft",Florian Jansen,https://www.vegetweb.de/#!quellendetails/740
Knapp 1954 (000932),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1956
Mages 1994 (000934),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1946
Lohberger 2005 (003004),"Lohberger, Ernst (2005) , N2000-Kartierung im Nationalpark Bayerischer Wald (Proj. 638)",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1365
Lorenz 1993 (000933),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1949
Frankl 2001 (000924),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1957
Gehlken 2005 (000681),"Gehlken, B. (2005) , Zur synsystematischen Stellung von Eupatorium cannabinum-Gesellschaften",Florian Jansen,https://www.vegetweb.de/#!quellendetails/482
Ewald 1995 (000920),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1945
Hölzel 1994 (000930),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1958
Ketterer 1998 (000931),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1940
Pfadenhauer 1969 (000278),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1951
Schmalle 1984 (003002),"Schmalle, Wolfram (1984) , Untersuchungen zur Floristik und Soziologie der Mittelwälder und Säume am Südostrand der Windsheimer Bucht",Florian Jansen,https://www.vegetweb.de/#!quellendetails/1364
Ewald 1997 (000921),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1942
Gregor 2013 (001243),"Gregor, T. et al. (2013) , Epilobium brachycarpum: a fast-spreading neophyte in Germany",Florian Jansen,https://www.vegetweb.de/#!quellendetails/510
Oberdorfer 1950 (000261),,Jörg Ewald,https://www.vegetweb.de/#!quellendetails/1944
