name,sum,Carlina_vulgaris,35
Acer_campestre,5,Centaurea_jacea,127
Acer_pseudoplatanus,88,Centaurea_scabiosa,184
Achillea_millefolium,305,Centaurea_spec,1
Aegopodium_podagraria,4,Centaurea_stoebe,156
Agrimonia_eupatoria,59,Cerastium_arvense,80
Agrostis_capillaris,167,Cerastium_fontanum_ssp_vulgare,285
Agrostis_stolonifera,3,Cerastium_glomeratum,40
Ajuga_reptans,70,Chenopodium_album,407
Allium_scorodoprasum,1,Chenopodium_polyspermum,142
Alopecurus_myosuroides,12,Cichorium_intybus,202
Alopecurus_pratensis,62,Cirsium_arvense,33
Amaranthus_retroflexus,121,Cirsium_oleraceum,38
Anagallis_arvensis,4,Cirsium_vulgare,4
Angelica_sylvestris,1,Clinopodium_vulgare,76
Anthericum_ramosum,38,Consolida_regalis,5
Anthoxanthum_odoratum,265,Convolvulus_arvensis,706
Anthyllis_vulneraria,157,Cornus_controversa,1
Apera_spica-venti,1,Cota_tinctoria,1
Arabis_hirsuta,49,Crepis_biennis,159
Arenaria_serpyllifolia,187,Crepis_capillaris,1
Arrhenatherum_elatius,364,Cynosurus_cristatus,51
Artemisia_vulgaris,13,Dactylis_glomerata,214
Asperula_cynanchica,51,Daucus_carota,147
Avena_fatua,1,Dianthus_carthusianorum,124
Barbarea_vulgaris,22,Dipsacus_fullonum,3
Bellis_perennis,1,Echinochloa_crus-galli,167
Brachypodium_pinnatum,81,Echium_vulgare,282
Brassica_napus,1,Elymus_repens,452
Briza_media,204,Epilobium_parviflorum,1
Bromus_erectus,294,Epilobium_spec,1
Bromus_hordeaceus,570,Equisetum_arvense,75
Bromus_inermis,349,Eragrostis_minor,1
Bromus_sterilis,5,Erigeron_annuus,83
Bunias_orientalis,175,Erigeron_canadensis,25
Buphthalmum_salicifolium,67,Erysimum_cheiranthoides,11
Calystegia_sepium,382,Euonymus_europaeus,1
Campanula_glomerata,72,Euphorbia_amygdaloides,1
Campanula_patula,53,Euphorbia_cyparissias,1
Campanula_rapunculoides,44,Euphorbia_esula,68
Campanula_rotundifolia,43,Euphorbia_helioscopia,104
Capsella_bursa-pastoris,284,Euphorbia_verrucosa,6
Cardamine_hirsuta,1,Fallopia_convolvulus,113
Carex_acutiformis,1,Festuca_ovina,134
Carex_caryophyllea,17,Festuca_pratensis,326
Carex_flacca,72,Festuca_rubra,329
Carex_hirta,101,Filipendula_ulmaria,10
Carex_muricata,5,Filipendula_vulgaris,48
Carex_praecox_ssp_praecox,6,Fragaria_vesca,1
Carex_spec,8,Fragaria_viridis,4
Fumaria_officinalis,15,Myosotis_arvensis,71
Galeopsis_tetrahit,23,Nardus_stricta,5
Galium_aparine,4,Oenothera_biennis,14
Galium_mollugo,237,Onobrychis_viciifolia,180
Galium_palustre,1,Origanum_vulgare,140
Galium_verum,116,Papaver_rhoeas,154
Geranium_dissectum,35,Pastinaca_sativa,98
Geranium_molle,1,Persicaria_amphibia,125
Geranium_pratense,52,Persicaria_bistorta,3
Geranium_pyrenaicum,61,Persicaria_minor,1
Getreide_Ã–hrchen,5,Peucedanum_oreoselinum,34
Geum_urbanum,3,Phleum_phleoides,31
Glechoma_hederacea,89,Phleum_pratense,183
Helianthemum_nummularium,33,Pimpinella_major,35
Helianthus_annuus,11,Pimpinella_saxifraga,49
Helianthus_tuberosus,1,Plantago_lanceolata,280
Helictotrichon_pubescens,96,Plantago_major_ssp_intermedia,7
Hippocrepis_comosa,68,Plantago_major_ssp_major,7
Holcus_lanatus,163,Plantago_media,59
Hordeum_vulgare,9,Poa_angustifolia,137
Hypericum_perforatum,38,Poa_compressa,87
Hypochaeris_radicata,194,Poa_pratensis,111
Inula_salicina,37,Poa_trivialis,61
Iris_spec,6,Polygonum_aviculare,123
Jacobaea_vulgaris,2,Populus_alba,2
Knautia_arvensis,239,Potentilla_anserina,303
Koeleria_pyramidata,88,Potentilla_erecta,6
Lactuca_serriola,20,Potentilla_recta,59
Lamium_maculatum,3,Potentilla_reptans,153
Lamium_purpureum,5,Prunella_grandiflora,41
Lapsana_communis,2,Prunella_vulgaris,154
Lathyrus_pratensis,166,Prunus_avium,12
Lathyrus_sylvestris,1,Quercus_robur,2
Lathyrus_tuberosus,7,Ranunculus_acris,67
Leontodon_hispidus,80,Ranunculus_bulbosus,130
Lepidium_campestre,9,Ranunculus_polyanthemos,3
Lepidium_ruderale,5,Ranunculus_repens,143
Leucanthemum_vulgare,282,Reseda_lutea,103
Linum_spec,1,Rhinanthus_alectorolophus,441
Lolium_perenne,54,Rhinanthus_glacialis,66
Lotus_corniculatus,366,Rhinanthus_minor,175
Lysimachia_nummularia,38,Rorippa_sylvestris,382
Lysimachia_vulgaris,20,Rubus_caesius,257
Lythrum_salicaria,1,Rumex_acetosa,206
Malva_spec,1,Rumex_obtusifolius,60
Medicago_falcata,212,Salix_purpurea,6
Medicago_lupulina,384,Salix_spec,2
Medicago_minima,1,Salvia_pratensis,281
Medicago_sativa,177,Sanguisorba_minor,475
Melilotus_albus,1,Sanguisorba_officinalis,108
Saxifraga_granulata,1,Vicia_hirsuta,2
Scabiosa_columbaria,45,Vicia_onobrychioides,1
Securigera_varia,299,Vicia_sativa_ssp_nigra,11
Sedum_acre,70,Vicia_sepium,16
Sedum_sexangulare,19,Vicia_tetrasperma,1
Setaria_pumila,82,Viola_arvensis,6
Setaria_spec,16,Vulpia_myuros,13
Setaria_verticillata,1,,
Setaria_viridis,8,,
Silaum_silaus,40,,
Silene_dioica,1,,
Silene_flos-cuculi,38,,
Silene_latifolia_ssp_alba,114,,
Silene_vulgaris,563,,
Sisymbrium_officinale,1,,
Solidago_gigantea,2,,
Sonchus_arvensis,16,,
Sonchus_asper,123,,
Stachys_palustris,8,,
Stachys_sylvatica,1,,
Stellaria_graminea,86,,
Stellaria_media,23,,
Symphytum_officinale,127,,
Taraxacum_campylodes,185,,
Thlaspi_arvense,2,,
Thymus_praecox,75,,
Tragopogon_pratensis,102,,
Trifolium_arvense,1,,
Trifolium_campestre,15,,
Trifolium_dubium,17,,
Trifolium_hybridum,2,,
Trifolium_medium,1,,
Trifolium_montanum,63,,
Trifolium_pratense,276,,
Trifolium_repens,15,,
Tripleurospermum_maritimum,1,,
Trisetum_flavescens,191,,
Triticum_spec,5,,
Urtica_dioica,6,,
Valeriana_officinalis,3,,
Valerianella_spec,18,,
Verbascum_densiflorum,22,,
Verbascum_lychnitis,169,,
Verbascum_spec,1,,
Verbascum_thapsus,11,,
Veronica_arvensis,38,,
Veronica_chamaedrys,79,,
Veronica_persica,2,,
Veronica_spec,1,,
Vicia_cracca,186,,
